,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,timestamp,unknown_88,time_elapsed,time_interval,time_interval_float,speed_mph,difference_in_speed_mph,speed_kmh,difference_in_speed_kmh,speed_meters_sec,speed_feet_sec,pace_min_mile,pace_min_km,distance_total_miles,distance_total_km,distance_interval_miles,distance_interval_km,elevation_meters,elevation_feet,rise_meters,rise_feet,run_meters,run_feet,real_cadence,steps_per_second,steps_per_interval,stride_length,hr_%,hr_diff,average_hr,gradient_%
0,34.2,61.0,0.39,34.2,0.0,0.0,101.0,445909777.0,-1456519038.0,0.0,2020-07-11 00:44:54,300.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.00024233476497256026,0.00039,,,34.2,112.204728,,0.0,,0.0,122.0,2.033333333333333,,,52.0618556701031,,138.06589147286823,na
1,34.2,61.0,0.39,34.2,0.0,0.0,101.0,445909789.0,-1456519017.0,0.0,2020-07-11 00:44:55,300.0,0 days 00:00:01.000000000,0 days 00:00:01.000000000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.00024233476497256026,0.00039,0.0,0.0,34.2,112.204728,0.0,0.0,0.0,0.0,122.0,2.033333333333333,2.033333333333333,0.0,52.0618556701031,0.0,138.06589147286823,na
2,37.4,0.0,2.31,37.4,0.0,0.0,104.0,445909698.0,-1456519071.0,0.0,2020-07-11 00:45:05,300.0,0 days 00:00:11.000000000,0 days 00:00:10.000000000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0014353674540682414,0.00231,0.0011930327272727272,0.0019199999999999998,37.4,122.70341599999999,3.1999999999999957,10.498687999999985,1.92,6.299212799999999,0.0,0.0,0.0,inf,53.608247422680414,3.0,138.06589147286823,165.62487185923848
3,37.4,0.0,3.87,37.4,0.0,0.0,101.0,445909621.0,-1456519205.0,0.0,2020-07-11 00:45:13,300.0,0 days 00:00:19.000000000,0 days 00:00:08.000000000,8.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0024047065139584825,0.00387,0.0009693390909090909,0.00156,37.4,122.70341599999999,0.0,0.0,1.56,5.1181104,0.0,0.0,0.0,inf,52.0618556701031,-3.0,138.06589147286823,1.916402535293236
4,37.2,0.0,6.33,37.2,0.0,0.0,104.0,445909458.0,-1456519457.0,0.0,2020-07-11 00:45:19,300.0,0 days 00:00:25.000000000,0 days 00:00:06.000000000,6.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.003933279646862324,0.00633,0.0015285731818181817,0.00246,37.2,122.04724800000001,-0.19999999999999574,-0.656167999999986,2.46,8.0708664,0.0,0.0,0.0,inf,53.608247422680414,3.0,138.06589147286823,-6.806720031549972
5,37.2,0.0,7.86,37.2,0.0,0.0,101.0,445909315.0,-1456519564.0,0.0,2020-07-11 00:45:25,300.0,0 days 00:00:31.000000000,0 days 00:00:06.000000000,6.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.004883977570985445,0.00786,0.0009506979545454546,0.0015300000000000003,37.2,122.04724800000001,0.0,0.0,1.5300000000000002,5.0196852000000005,0.0,0.0,0.0,inf,52.0618556701031,-3.0,138.06589147286823,1.9532450940538297
6,36.4,0.0,9.54,36.4,0.0,0.0,104.0,445909677.0,-1456519416.0,0.0,2020-07-11 00:45:51,300.0,0 days 00:00:57.000000000,0 days 00:00:26.000000000,26.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.005927881173944165,0.00954,0.0010439036363636355,0.0016799999999999988,36.4,119.42257599999999,-0.8000000000000043,-2.624672000000014,1.6799999999999988,5.511811199999996,0.0,0.0,0.0,inf,53.608247422680414,3.0,138.06589147286823,-44.98854131086976
7,36.4,0.0,11.33,36.4,0.0,0.0,101.0,445909836.0,-1456519271.0,0.0,2020-07-11 00:45:56,300.0,0 days 00:01:02.000000000,0 days 00:00:05.000000000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.007040135608048993,0.01133,0.0011122544696969704,0.001790000000000001,36.4,119.42257599999999,0.0,0.0,1.790000000000001,5.872703600000003,0.0,0.0,0.0,inf,52.0618556701031,-3.0,138.06589147286823,1.6742836527163338
8,36.8,0.0,11.64,36.8,0.0,0.0,96.0,445909856.0,-1456519298.0,0.0,2020-07-11 00:46:05,300.0,0 days 00:01:11.000000000,0 days 00:00:09.000000000,9.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0072327606776425675,0.011640000000000001,0.00019262507575757608,0.0003100000000000005,36.8,120.734912,0.3999999999999986,1.3123359999999953,0.3100000000000005,1.0170604000000016,0.0,0.0,0.0,inf,49.48453608247423,-5.0,138.06589147286823,126.43327075241348
9,36.6,61.0,11.95,36.6,0.0,0.0,99.0,445909866.0,-1456519250.0,0.0,2020-07-11 00:46:10,300.0,0 days 00:01:16.000000000,0 days 00:00:05.000000000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.007425385747236141,0.011949999999999999,0.00019262507575757497,0.0003099999999999987,36.6,120.078744,-0.19999999999999574,-0.656167999999986,0.3099999999999987,1.0170603999999959,122.0,2.033333333333333,10.166666666666666,0.0304918032786884,51.03092783505154,3.0,138.06589147286823,-49.788534263678855
10,36.4,0.0,13.64,36.4,0.0,0.0,102.0,445909741.0,-1456519237.0,0.0,2020-07-11 00:46:20,300.0,0 days 00:01:26.000000000,0 days 00:00:10.000000000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.008475503062117236,0.013640000000000001,0.0010501173484848492,0.0016900000000000012,36.4,119.42257599999999,-0.20000000000000284,-0.6561680000000093,1.6900000000000013,5.544619600000004,0.0,0.0,0.0,inf,52.57731958762887,3.0,138.06589147286823,-9.853064323413555
11,36.2,0.0,19.02,36.2,0.0,0.0,99.0,445910215.0,-1456518758.0,0.0,2020-07-11 00:46:37,300.0,0 days 00:01:43.000000000,0 days 00:00:17.000000000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.01181848007635409,0.01902,0.0033429771212121207,0.005379999999999999,36.2,118.76640800000001,-0.19999999999999574,-0.656167999999986,5.379999999999999,17.650919199999997,0.0,0.0,0.0,inf,51.03092783505154,-3.0,138.06589147286823,-3.1331785905486296
12,36.2,61.0,19.68,36.2,0.0,0.0,102.0,445910101.0,-1456518756.0,0.0,2020-07-11 00:46:40,300.0,0 days 00:01:46.000000000,0 days 00:00:03.000000000,3.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.012228585063230732,0.01968,0.00041010500000000007,0.0006600000000000001,36.2,118.76640800000001,0.0,0.0,0.6600000000000001,2.1653544000000005,122.0,2.033333333333333,6.1,0.10819672131147544,52.57731958762887,3.0,138.06589147286823,4.414320337691974
13,36.0,0.0,21.47,36.0,0.0,0.0,105.0,445909889.0,-1456518790.0,0.0,2020-07-11 00:46:43,300.0,0 days 00:01:49.000000000,0 days 00:00:03.000000000,3.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.01334083949733556,0.02147,0.001112254469696969,0.001789999999999999,36.0,118.11024,-0.20000000000000284,-0.6561680000000093,1.7899999999999991,5.872703599999997,0.0,0.0,0.0,inf,54.123711340206185,3.0,138.06589147286823,-9.311829905639545
14,36.2,0.0,23.14,36.2,0.0,0.0,108.0,445909623.0,-1456518607.0,0.0,2020-07-11 00:46:50,300.0,0 days 00:01:56.000000000,0 days 00:00:07.000000000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.014378529388371909,0.02314,0.0010376899242424253,0.0016700000000000018,36.2,118.76640800000001,0.20000000000000284,0.6561680000000093,1.6700000000000017,5.479002800000005,0.0,0.0,0.0,inf,55.670103092783506,3.0,138.06589147286823,13.553820048271145
